id	traj.length
0	40
1	37
2	36
3	40
4	31
5	36
6	32
7	40
8	34
9	39
10	29
11	40
12	40
13	35
14	35
15	38
16	40
17	40
18	40
19	23
20	35
21	40
22	40
23	36
24	40
25	34
26	40
27	40
28	40
29	31
30	35
31	32
32	40
33	37
34	40
35	40
36	40
37	40
38	40
39	40
40	40
41	40
42	40
43	34
44	25
45	38
46	27
47	40
48	37
49	37
50	38
51	29
52	29
53	31
54	34
55	36
56	32
57	33
58	35
59	34
60	29
61	35
62	34
63	33
64	37
65	36
66	34
67	32
68	40
69	38
70	40
71	40
72	40
73	40
74	37
75	40
76	40
77	40
78	33
79	40
80	40
81	40
82	23
83	40
84	27
85	40
86	35
87	38
88	31
89	36
90	36
91	38
92	40
93	35
94	36
95	35
96	37
97	40
98	40
99	27
100	32
101	30
102	30
103	31
104	31
105	38
106	35
107	28
108	37
109	40
110	40
111	37
112	40
113	40
114	37
115	40
116	37
117	40
118	40
119	35
120	40
121	40
122	40
123	40
124	40
125	40
126	40
127	36
128	29
129	28
130	30
131	31
132	28
133	33
134	31
135	33
136	37
137	40
138	32
139	40
140	40
141	40
142	40
143	40
144	40
145	40
146	40
147	35
148	36
149	40
150	35
151	35
152	40
153	35
154	33
155	33
156	40
157	32
158	35
159	31
160	35
161	31
162	31
163	28
164	26
165	24
166	29
167	30
168	28
169	30
170	32
171	32
172	34
173	38
174	38
175	35
176	40
177	40
178	40
179	36
180	35
181	38
182	40
183	40
184	36
185	31
186	30
187	31
188	25
189	26
190	30
191	30
192	30
193	36
194	31
195	40
196	35
197	34
198	39
199	32
200	35
201	31
202	37
203	38
204	25
205	27
206	37
207	28
208	27
209	27
210	28
211	28
212	26
213	36
214	30
215	34
216	27
217	30
218	29
219	28
220	34
221	33
222	36
223	31
224	29
225	33
226	32
227	28
228	30
229	25
230	28
231	30
232	25
233	30
234	28
235	27
236	26
237	27
238	32
239	26
240	24
241	4
242	7
243	33
245	27
246	23
247	25
248	24
249	24
250	24
251	26
252	32
253	24
254	24
255	24
257	24
258	22
259	23
261	26
264	23
265	20
266	19
267	19
268	31
269	28
270	34
271	22
272	26
273	18
275	7
276	16
277	16
279	16
280	25
281	3
283	14
285	13
286	4
287	10
289	13
291	11
292	12
294	3
295	7
296	10
297	10
298	9
299	11
301	3
302	7
303	8
304	9
305	10
306	8
307	8
308	2
310	6
311	2
312	3
313	4
314	4
315	4
316	2
318	15
319	3
320	3
321	3
323	20
324	7
325	16
326	19
327	10
328	3
329	8
330	20
331	17
332	12
333	11
334	19
335	17
336	13
337	5
338	18
339	18
340	18
341	18
342	6
343	10
344	17
345	7
346	18
347	2
349	13
350	17
351	8
352	15
353	12
354	11
355	8
356	15
357	9
359	13
360	16
361	13
362	16
363	6
364	16
365	14
366	16
367	13
368	15
369	15
370	7
371	15
372	15
373	8
374	14
375	15
376	15
377	15
378	12
379	10
380	11
381	14
382	14
383	11
384	14
385	8
386	14
387	12
388	13
389	5
390	13
392	13
393	6
394	13
395	13
396	13
397	13
398	13
399	11
400	12
402	12
403	10
404	12
405	12
406	6
407	12
408	11
409	6
410	12
411	7
412	3
413	12
414	12
415	4
416	11
417	11
418	11
419	10
420	5
421	11
422	4
423	2
424	11
425	11
426	2
427	6
428	10
429	10
430	10
431	6
432	10
433	8
434	10
435	10
436	10
437	10
438	2
439	10
440	2
441	4
442	6
443	10
444	7
445	9
446	9
447	9
448	2
449	9
450	5
451	9
452	2
453	4
454	6
455	3
456	9
457	9
458	7
459	4
460	8
461	9
462	8
463	8
464	8
465	8
466	7
467	8
468	3
469	8
470	2
471	8
472	4
473	8
474	2
476	6
478	8
479	7
480	7
481	7
482	7
483	2
484	6
485	7
486	7
487	7
488	4
489	7
490	7
492	2
493	5
494	7
495	7
496	6
497	5
498	7
499	7
500	7
501	7
502	4
503	6
504	6
505	5
506	6
507	4
508	3
509	6
510	3
511	2
512	4
513	3
514	6
515	6
516	6
517	4
518	6
519	3
520	5
521	4
522	6
523	6
524	6
525	6
526	6
527	6
529	6
530	2
531	6
532	6
533	6
534	2
536	6
537	6
538	3
539	6
540	6
541	6
542	6
543	6
544	6
546	6
547	6
548	6
549	4
550	6
552	5
553	6
554	5
555	5
557	5
558	5
560	5
561	5
562	5
563	5
564	5
565	5
566	5
567	5
568	2
569	2
570	5
571	2
572	5
573	3
574	3
575	5
576	5
577	5
578	5
579	5
580	3
581	5
583	4
584	2
585	5
587	5
588	2
589	4
590	5
591	5
592	3
593	5
595	4
596	4
597	4
599	4
601	4
602	4
603	3
605	4
606	4
607	2
608	3
609	2
610	2
611	4
612	4
613	4
614	3
615	4
616	4
618	2
619	4
622	2
623	2
624	4
625	2
626	4
627	3
628	4
630	4
631	2
632	4
633	3
634	3
635	3
636	3
637	3
638	2
639	3
640	3
641	3
642	3
644	2
645	3
646	3
647	3
648	2
650	3
652	3
653	3
654	3
656	3
657	3
658	3
659	3
661	3
662	2
664	3
666	3
667	3
668	3
669	3
670	2
671	3
673	2
675	2
677	2
678	2
679	2
680	2
681	2
682	2
684	2
685	2
686	2
687	2
688	2
689	2
690	2
691	2
692	2
693	2
694	2
695	2
696	2
698	2
